Kilo-Sec_B,rel_flux_T1_d(mag),rel_flux_err_T1_d(mag)
9.852883,-0.008425,0.001536
9.870509,-0.009901,0.001535
9.887875,-0.010784,0.001534
9.905328,-0.003458,0.001542
9.922781,-0.011461,0.001531
9.940234,-0.004616,0.00153
9.957773,-0.005006,0.001532
9.975226,-0.006462,0.001539
9.992678,-0.002537,0.001536
10.010131,-0.007509,0.001532
10.02767,-0.005827,0.001537
10.045123,-0.004697,0.001535
10.062576,-0.007662,0.001539
10.080029,-0.008124,0.001539
10.097654,-0.003694,0.001538
10.115107,-0.006551,0.001536
10.13256,-0.005231,0.001534
10.150013,-0.008525,0.001538
10.167638,-0.007799,0.001535
10.185091,-0.002341,0.001543
10.202544,-0.001188,0.001541
10.220083,-0.004808,0.001538
10.237622,-0.006698,0.001538
10.255075,-0.002555,0.001541
10.272528,-0.00345,0.00154
10.290067,-0.004118,0.001539
10.30752,-0.000008,0.001542
10.325059,-0.003097,0.001537
10.342598,-0.003709,0.001538
10.360051,-0.008003,0.001544
10.377677,-0.002063,0.001534
10.395216,-0.004481,0.001534
10.412669,-0.007563,0.001531
10.430208,-0.004023,0.001534
10.447747,-0.007466,0.001528
10.465286,-0.004049,0.001527
10.482739,-0.007677,0.001524
10.500278,-0.003558,0.00153
10.517731,-0.008377,0.001525
10.535184,-0.008118,0.00153
10.552637,-0.006696,0.001524
10.570176,-0.008195,0.001526
10.587629,-0.005106,0.001527
10.605082,-0.004617,0.001531
10.622534,-0.006912,0.001532
10.64016,-0.00271,0.001534
10.657526,-0.004269,0.001535
10.674979,-0.007363,0.001532
10.692432,-0.007925,0.00153
10.710144,-0.012025,0.001526
10.72751,-0.013983,0.00153
10.74505,-0.018379,0.00152
10.762502,-0.012483,0.001526
10.780042,-0.016399,0.001536
10.797494,-0.019696,0.001527
10.814947,-0.011479,0.001531
10.8324,-0.008582,0.001534
10.850026,-0.013505,0.001524
10.867565,-0.010155,0.001523
10.885018,-0.012933,0.001523
10.902557,-0.009783,0.001518
10.92001,-0.011862,0.001519
10.937462,-0.008815,0.00152
10.954915,-0.00753,0.001525
10.972454,-0.009268,0.001527
10.989907,-0.014422,0.001524
11.007446,-0.008599,0.001529
11.024813,-0.010546,0.001527
11.042352,-0.010199,0.001523
11.059891,-0.01131,0.001528
11.077344,-0.00787,0.001522
11.094797,-0.014892,0.001526
11.112336,-0.005995,0.001533
11.129875,-0.009947,0.001527
11.147328,-0.0093,0.00152
11.164867,-0.007846,0.001526
11.18232,-0.009939,0.001523
11.199859,-0.01048,0.001529
11.217312,-0.004568,0.001528
11.234851,-0.003867,0.001523
11.252304,-0.002301,0.001526
11.269757,-0.004793,0.001524
11.28721,-0.003022,0.001529
11.304662,-0.003202,0.001524
11.322202,-0.000712,0.001531
11.339741,-0.003449,0.001528
11.35728,-0.003857,0.001531
11.374733,-0.005635,0.001527
11.392186,-0.003131,0.001529
11.409725,-0.00062,0.00153
11.427178,-0.002349,0.001534
11.444717,-0.004656,0.001531
11.46217,-0.002481,0.001535
11.479709,-0.004285,0.001535
11.497075,-0.002702,0.001532
11.514528,-0.001121,0.001535
11.531981,0.000901,0.001531
11.549434,0.002022,0.001538
11.566886,-0.002719,0.001534
11.584339,-0.004741,0.001537
11.601792,-0.007092,0.001533
11.619331,-0.005431,0.001537
11.63687,-0.004917,0.001539
11.654323,-0.007113,0.001534
11.671862,-0.005165,0.00153
11.689315,-0.002176,0.001528
11.706854,-0.004353,0.00153
11.724394,-0.006119,0.00153
11.741846,-0.005115,0.001529
11.759299,-0.001548,0.001529
11.776752,-0.000996,0.001534
11.794205,-0.003296,0.00153
11.811744,-0.002599,0.001531
11.829197,-0.00456,0.001533
11.846736,-0.004869,0.001524
11.864189,-0.003559,0.001532
11.881728,-0.006249,0.001524
11.899181,-0.001731,0.001525
11.917152,-0.006313,0.001528
11.935642,-0.003742,0.001524
11.955254,-0.002497,0.001521
11.97288,-0.004286,0.001518
11.990678,-0.003628,0.001521
12.008131,-0.003704,0.001519
12.025498,0.002052,0.00152
12.04295,-0.003415,0.00152
12.06049,-0.003942,0.001519
12.077942,-0.002481,0.00152
12.095395,-0.000001,0.00152
12.113021,-0.001366,0.001534
12.130474,0.004359,0.00153
12.147926,0.000651,0.001526
12.165379,-0.001308,0.001535
12.182832,0.001377,0.001533
12.200371,-0.003352,0.001529
12.847594,0.000155,0.00155
12.865046,-0.006252,0.001544
12.882499,-0.006124,0.001543
12.899952,0.008062,0.00164
12.91801,0.008336,0.001577
12.935462,0.003652,0.001629
12.953088,0.002712,0.001539
12.970627,0.003569,0.001531
12.98808,0.002808,0.001533
13.005533,0.000335,0.001529
13.022986,0.002951,0.001532
13.040525,0.000893,0.001536
13.057978,0.002303,0.001532
13.07543,0.004424,0.001527
13.09297,-0.000326,0.001528
13.110422,0.002865,0.00154
13.127875,-0.001054,0.001526
13.145414,0.000235,0.001533
13.162954,0.003194,0.001529
13.180406,0.003845,0.001528
13.197946,0.001114,0.001531
13.215485,0.003324,0.001533
13.232851,0.00367,0.001532
13.250304,0.001201,0.001534
13.267757,0.00342,0.001526
13.28521,0.000237,0.001527
13.302835,0.004806,0.001543
13.320374,-0.000391,0.001531
13.337827,0.002448,0.001547
13.35528,0.007321,0.001528
13.372819,0.006586,0.001528
13.390272,0.007467,0.001528
13.407725,0.006289,0.00153
13.425178,0.004864,0.001548
13.442803,0.006026,0.001527
13.46017,0.003757,0.001534
13.477709,0.007263,0.001526
13.495248,0.001917,0.00154
13.512701,0.003514,0.00153
13.53024,0.000989,0.001533
13.547693,-0.000725,0.001532
13.565232,0.001737,0.001531
13.582685,0.002864,0.001532
13.600138,0.0031,0.001523
13.61759,0.001705,0.001533
13.63513,0.000685,0.001531
13.652669,0.003454,0.001527
13.670035,0.004593,0.001528
13.687574,0.002358,0.001528
13.705114,-0.000919,0.001531
13.722653,0.001626,0.001526
13.740106,0.000905,0.00153
13.757645,0.004794,0.001531
13.775098,0.000249,0.001525
13.79255,0.000913,0.001534
13.810003,0.000313,0.001526
13.827456,-0.000141,0.001532
13.844995,-0.003385,0.001518
13.862534,-0.000233,0.001524
13.879987,0.004095,0.001534
13.897354,-0.002931,0.001531
13.914893,0.00017,0.001529
13.932518,0.001904,0.001532
13.950058,0.00429,0.001531
13.96751,-0.001185,0.001525
13.984963,0.003377,0.001531
14.002416,0.001363,0.001529
14.019869,0.002928,0.001525
14.037408,0.005271,0.001529
14.054861,0.002838,0.00152
14.0724,0.004722,0.001526
14.090026,0.007471,0.001536
14.107565,0.002841,0.001522
14.12519,0.002115,0.001523
14.142643,-0.002554,0.001524
14.160096,0.001274,0.001516
14.177549,0.00173,0.001525
14.195174,-0.001505,0.00152
14.212627,0.002155,0.001518
14.23008,0.002503,0.001527
14.247533,-0.000528,0.001516
14.265072,-0.00046,0.00151
14.282525,-0.003059,0.001525
14.299978,0.003009,0.001511
14.31743,-0.002101,0.001516
14.335056,0.001041,0.001516
14.352422,0.002368,0.001509
14.369875,-0.002284,0.001513
14.387328,0.003079,0.001521
14.40504,-0.000269,0.001515
14.422406,0.002945,0.001511
14.439946,-0.000503,0.001515
14.457312,0.002413,0.001522
14.474938,-0.001102,0.00152
14.492477,-0.000761,0.001513
14.509843,0.001869,0.001525
14.527296,0.000887,0.001513
14.544922,0.004147,0.001518
14.562461,0.004401,0.001527
14.58,-0.002545,0.00151
14.597453,0.002123,0.001517
14.615078,-0.00154,0.001518
14.632531,-0.000739,0.001523
14.649984,-0.00115,0.001512
14.667523,-0.003131,0.001515
14.684976,-0.001197,0.001515
14.702515,0.000944,0.001517
14.719968,0.001328,0.001521
14.737421,-0.003693,0.001523
14.75496,0.004171,0.001518
14.772413,0.002393,0.001516
14.789866,0.002084,0.001519
14.807318,0.003569,0.001523
14.824771,0.00344,0.001518
14.842224,0.000277,0.001517
14.859763,-0.000031,0.001517
14.877216,0.002247,0.001519
14.894755,0.002641,0.001527
14.912381,0.001122,0.00152
14.929834,0.002341,0.001521
14.947286,-0.000612,0.00152
14.964739,0.005203,0.00152
14.982451,0.000772,0.00152
14.999904,0.001172,0.001524
15.017443,0.004174,0.001524
15.034896,0.000887,0.001526
15.052522,0.003895,0.001527
15.069974,0.001438,0.001521
15.087427,0.001993,0.001528
15.104966,0.004345,0.001522
15.122592,0.006351,0.001524
15.140131,0.003702,0.001525
15.15767,0.002881,0.001525
15.17521,0.000549,0.001527
15.192922,0.002414,0.00152
15.210461,-0.004506,0.001519
15.227914,0.001847,0.001515
15.245453,-0.003991,0.001516
15.262819,0.002464,0.001518
15.280358,0.001526,0.00152
15.297811,-0.000562,0.001521
15.31535,0.004172,0.001526
15.332803,0.000956,0.001516
15.350342,0.003946,0.001526
15.367795,0.000441,0.001513
15.385334,0.005248,0.001523
15.40296,0.001046,0.001519
15.420326,0.005061,0.001525
15.437866,-0.005714,0.001516
15.455318,-0.000827,0.001518
15.472771,-0.004644,0.001519
15.490224,-0.001781,0.001545
15.507677,0.003163,0.001519
15.525216,0.006338,0.00152
15.542669,-0.000075,0.00152
15.560208,0.00982,0.001519
15.577747,0.002699,0.001523
15.5952,0.005698,0.001526
15.612653,0.001365,0.001522
15.630278,0.002684,0.001521
15.647731,0.002139,0.00152
15.665184,0.005077,0.001525
15.682637,0.003203,0.001522
15.700176,0.001651,0.00152
15.717629,0.0044,0.001522
15.735082,0.00245,0.001519
15.752534,-0.002829,0.001524
15.770074,0.000672,0.001518
15.78744,0.00013,0.001516
15.805066,0.007464,0.001509
15.822518,0.0034,0.001513
15.840144,0.00281,0.001517
15.857597,-0.001134,0.001508
15.87505,-0.000468,0.001512
15.892675,0.001763,0.001518
15.910128,-0.003896,0.001516
15.927581,-0.002728,0.001522
15.945034,-0.003757,0.001512
15.962659,0.00283,0.001526
15.980112,0.004617,0.001515
15.997565,-0.000311,0.001511
16.015018,-0.002321,0.001518
16.03247,-0.002399,0.001511
16.049923,0.003959,0.001508
16.067376,-0.00135,0.001511
16.084829,-0.000025,0.001516
16.102454,-0.000346,0.001507
16.119907,-0.000412,0.001511
16.13736,-0.001867,0.001511
16.154813,0.00466,0.001513
16.172438,-0.000806,0.001515
16.189891,0.001261,0.001512
16.207344,0.001299,0.001514
